AFAfghanistan                                       afghanistan                                       
NZNew Zealand                                       new-zealand                                       
NINicaragua                                         nicaragua                                         
NENiger                                             niger                                             
NGNigeria                                           nigeria                                           
NONorway                                            norway                                            
OMOman                                              oman                                              
PKPakistan                                          pakistan                                          
PWPalau                                             palau                                             
PSPalestinian Territory                             palestine                                         
PAPanama                                            panama                                            
PGPapua New Guinea                                  papua-new-guinea                                  
PYParaguay                                          paraguay                                          
PEPeru                                              peru                                              
PHPhilippines                                       philippines                                       
PLPoland                                            poland                                            
PTPortugal                                          portugal                                          
QAQatar                                             qatar                                             
XKRepublic of Kosovo                                kosovo                                            
RORomania                                           romania                                           
RURussian Federation                                russia                                            
RWRwanda                                            rwanda                                            
KNSaint Kitts and Nevis                             saint-kitts-and-nevis                             
LCSaint Lucia                                       saint-lucia                                       
VCSaint Vincent and Grenadines                      saint-vincent-and-the-grenadines                  
WSSamoa                                             samoa                                             
SMSan Marino                                        san-marino                                        
STSao Tome and Principe                             sao-tome-and-principe                             
SASaudi Arabia                                      saudi-arabia                                      
SNSenegal                                           senegal                                           
RSSerbia                                            serbia                                            
SCSeychelles                                        seychelles                                        
SLSierra Leone                                      sierra-leone                                      
SGSingapore                                         singapore                                         
SKSlovakia                                          slovakia                                          
SISlovenia                                          slovenia                                          
SBSolomon Islands                                   solomon-islands                                   
SOSomalia                                           somalia                                           
ZASouth Africa                                      south-africa                                      
SSSouth Sudan                                       south-sudan                                       
ESSpain                                             spain                                             
LKSri Lanka                                         sri-lanka                                         
SDSudan                                             sudan                                             
SRSuriname                                          suriname                                          
SZSwaziland                                         swaziland                                         
SESweden                                            sweden                                            
CHSwitzerland                                       switzerland                                       
SYSyrian Arab Republic (Syria)                      syria                                             
TWTaiwan Republic of China                          taiwan                                            
TJTajikistan                                        tajikistan                                        
TZTanzania United Republic of                       tanzania                                          
THThailand                                          thailand                                          
TLTimor-Leste                                       timor-leste                                       
TGTogo                                              togo                                              
TTTrinidad and Tobago                               trinidad-and-tobago                               
TNTunisia                                           tunisia                                           
TRTurkey                                            turkey                                            
UGUganda                                            uganda                                            
UAUkraine                                           ukraine                                           
AEUnited Arab Emirates                              united-arab-emirates                              
GBUnited Kingdom                                    united-kingdom                                    
USUnited States of America                          united-states                                     
UYUruguay                                           uruguay                                           
UZUzbekistan                                        uzbekistan                                        
VUVanuatu                                           vanuatu                                           
VEVenezuela (Bolivarian Republic)                   venezuela                                         
VNViet Nam                                          vietnam                                           
YEYemen                                             yemen                                             
ZMZambia                                            zambia                                            
ZWZimbabwe                                          zimbabwe                                          
TOTonga                                             tonga                                             
CoCountry                                           Slug                                              
AQAntarctica                                        antarctica                                        
KPKorea (North)                                     korea-north                                       
